"azithromycin_1.75mM"	"azithromycin_2mM"
"BOL3"	-0.205809426580809	-0.464247210788573
"BOP2"	0.229226263132706	0.684162282293609
"BOP3"	NA	NA
"BOR1"	-0.215126193249281	-0.337995362710465
"BPH1"	0.000725522276271421	-0.175402928985838
"BPT1"	-0.152368612429533	-0.378776602029053
"BRE1"	0.134072800931686	0.255035616004901
"BRE2"	1.50098136102669	1.60138241192457
"BRE4"	0.0575576833131524	-0.0361467410683961
"BRE5"	-0.381447288502674	-1.09931194556967
"BRO1"	-0.8160983133166	-1.82330403020745
"BRP1"	2.47168539787205	2.1359569210831
"BRR1"	-1.03115280632763	-0.901444236453951
"BSC1"	0.0845504071376691	0.0768050711770445
"BSC2"	0.14389372187873	-0.0139165048395665
"BSC4"	-0.0270820223434029	-0.0896399412836579
"BSC5"	0.44145232332325	0.437143943722311
"BSC6"	-0.181108602578194	0.0895366534505509
"BSD2"	0.162017584348976	0.627738895225418
"BSP1"	-0.280184180180965	-0.14218503522879
"BST1"	0.31816992682378	0.259742019671101
"BTN2"	0.283625749312798	0.0187258025061512
"BTS1"	0.299832511214146	1.04107874034036
"BTT1"	-0.123040826556851	0.0227615627136114
"BUB1"	0.00854910696376986	0.0105530049499732
"BUB2"	-0.0918177635172441	-0.195947116189597
"BUB3"	-1.06122167155893	-2.00425825821245
"BUD13"	0.00884929586789589	0.0107930390066271
"BUD14"	-0.163406708001504	-0.226501153677757
"BUD16"	-0.955379227040257	-1.31552317449982
"BUD17"	-0.567826469504534	-0.105635070651893
"BUD19"	-1.024176022683	-1.61458787264944
"BUD2"	-0.349930426123512	-0.174887550609914
"BUD20"	-0.948888914118897	-1.58545384299968
"BUD21"	-1.0579893600385	-1.8126269080032
"BUD22"	0.00287583287668887	0.000752496901430325
"BUD23"	-0.26726052063586	-1.02094119204578
"BUD25"	NA	NA
"BUD26"	-0.0689673871018527	-1.03939851203301
"BUD27"	0.278896781599628	-0.0939635950004649
"BUD28"	-1.24471274245349	-2.3010114326176
"BUD3"	0.100690760994313	0.0548779026847694
"BUD30"	-0.0259647927903671	-0.401189251696028
"BUD31"	-0.0743288630178438	-0.511470229751559
"BUD32"	-0.256207584105655	-0.332034365823619
"BUD4"	0.0304813854069638	-0.192131678458085
"BUD6"	-0.10254797815126	0.597793425728389
"BUD7"	0.502356968449674	0.637849191786873
"BUD8"	0.0476478979149536	0.264852261598752
"BUD9"	0.00182913452986789	-0.168727176183077
"BUG1"	-0.0500219897435905	0.143515435335047
"BUL1"	-0.245012457805106	-0.409813600203755
"BUL2"	0.340732221232368	0.327837264051531
"BUR2"	0.255789747820345	0.0246983148133556
"BXI1"	0.0389580649372562	0.0729186542224562
"BYE1"	0.19916406003936	-0.00249749287384496
"BZZ1"	0.155022240009862	-0.297066590225623
"CAC2"	-0.00685212521231795	0.0713741043985271
"CAD1"	0.0998955322210719	-0.382901134696526
"CAF120"	-0.31293102642359	-0.3669651481273
"CAF130"	0.44160243388707	0.665645664902711
"CAF16"	-0.181057498677067	-0.162595297233035
"CAF20"	-0.193492950434443	-0.456579555130108
"CAF4"	-0.156846050009452	-0.31081401805471
"CAF40"	-0.514986097023822	-0.601595814163645
"CAJ1"	0.359742335673157	-0.0245991661883651
"CAM1"	0.41172005201807	0.189532234788107
